gid	tid	ttype	chrom	start	end	srd	size.rna	size.exon	size.cds	note1	note2
Zm00004b010306	Zm00004b010306_T001	mRNA	chr02	230229957	230231623	+	1667	1515	1515		
Zm00004b010307	Zm00004b010307_T001	mRNA	chr02	230238543	230250497	-	11955	2953	2934		
Zm00004b010308	Zm00004b010308_T001	mRNA	chr02	230281394	230288270	+	6877	1216	660		
Zm00004b010309	Zm00004b010309_T001	mRNA	chr02	230289078	230294080	-	5003	2112	1695		
Zm00004b010310	Zm00004b010310_T001	mRNA	chr02	230321594	230324513	-	2920	546	306		
Zm00004b010311	Zm00004b010311_T001	mRNA	chr02	230376022	230382906	-	6885	2314	1908		
Zm00004b010312	Zm00004b010312_T001	mRNA	chr02	230450731	230471348	+	20618	1995	1611		
Zm00004b010313	Zm00004b010313_T001	mRNA	chr02	230538746	230539819	-	1074	1074	1074		
Zm00004b010314	Zm00004b010314_T001	mRNA	chr02	230540254	230541094	+	841	587	258		
Zm00004b010315	Zm00004b010315_T001	mRNA	chr02	230601033	230605115	-	4083	1913	1206		
Zm00004b010316	Zm00004b010316_T001	mRNA	chr02	230663041	230663481	+	441	441	441		
Zm00004b010317	Zm00004b010317_T001	mRNA	chr02	230713552	230733894	-	20343	5161	2589		
Zm00004b010318	Zm00004b010318_T001	mRNA	chr02	230714968	230715342	+	375	375	375		
Zm00004b010319	Zm00004b010319_T001	mRNA	chr02	230827087	230828367	+	1281	1204	528		
Zm00004b010320	Zm00004b010320_T001	mRNA	chr02	230841227	230861446	+	20220	3391	2478		
Zm00004b010321	Zm00004b010321_T001	mRNA	chr02	230924633	230925538	+	906	906	906		
Zm00004b010322	Zm00004b010322_T001	mRNA	chr02	230947136	230949062	-	1927	1693	1392		
Zm00004b010323	Zm00004b010323_T001	mRNA	chr02	231007104	231007931	-	828	828	828		
Zm00004b010324	Zm00004b010324_T001	mRNA	chr02	231078422	231084405	-	5984	2975	2877		
Zm00004b010325	Zm00004b010325_T001	mRNA	chr02	231154446	231165974	+	11529	5908	1416		
Zm00004b010326	Zm00004b010326_T001	mRNA	chr02	231198448	231216444	+	17997	1870	696		
Zm00004b010327	Zm00004b010327_T001	mRNA	chr02	231224752	231231014	+	6263	3048	3048		
Zm00004b010328	Zm00004b010328_T001	mRNA	chr02	231235675	231238746	+	3072	1301	732		
Zm00004b010329	Zm00004b010329_T001	mRNA	chr02	231292297	231292686	+	390	390	390		
Zm00004b010330	Zm00004b010330_T001	mRNA	chr02	231306895	231320234	+	13340	3684	3636		
Zm00004b010331	Zm00004b010331_T001	mRNA	chr02	231340383	231341254	+	872	408	408		
Zm00004b010332	Zm00004b010332_T001	mRNA	chr02	231446218	231447995	+	1778	1675	1386		
Zm00004b010333	Zm00004b010333_T001	mRNA	chr02	231449949	231452949	-	3001	1000	699		
Zm00004b010334	Zm00004b010334_T001	mRNA	chr02	231456422	231458127	-	1706	447	447		
Zm00004b010335	Zm00004b010335_T001	mRNA	chr02	231459337	231466779	+	7443	2035	1779		
Zm00004b010336	Zm00004b010336_T001	mRNA	chr02	231541281	231541677	-	397	397	231		
Zm00004b010337	Zm00004b010337_T001	mRNA	chr02	231541329	231543792	+	2464	804	390		
Zm00004b010338	Zm00004b010338_T001	mRNA	chr02	231550293	231554357	+	4065	1339	756		
Zm00004b010339	Zm00004b010339_T001	mRNA	chr02	231590796	231621468	-	30673	1040	747		
Zm00004b010340	Zm00004b010340_T001	mRNA	chr02	231673797	231679131	+	5335	2057	1533		
Zm00004b010341	Zm00004b010341_T001	mRNA	chr02	231693648	231696663	-	3016	1611	1191		
Zm00004b010342	Zm00004b010342_T001	mRNA	chr02	231748805	231749763	+	959	342	342		
Zm00004b010343	Zm00004b010343_T001	mRNA	chr02	231749809	231750668	-	860	786	204		
Zm00004b010344	Zm00004b010344_T001	mRNA	chr02	231766671	231767314	+	644	498	270		
Zm00004b010345	Zm00004b010345_T001	mRNA	chr02	231769055	231773070	+	4016	1830	1419		
Zm00004b010346	Zm00004b010346_T001	mRNA	chr02	231774122	231777603	-	3482	1612	1011		
Zm00004b010347	Zm00004b010347_T001	mRNA	chr02	231854581	231856171	-	1591	787	567		
Zm00004b010348	Zm00004b010348_T001	mRNA	chr02	231884812	231886067	-	1256	881	534		
Zm00004b010349	Zm00004b010349_T001	mRNA	chr02	231926714	231927387	+	674	564	564		
Zm00004b010350	Zm00004b010350_T001	mRNA	chr02	231933440	231937862	-	4423	1612	552		
Zm00004b010351	Zm00004b010351_T001	mRNA	chr02	231972321	231979779	+	7459	2644	1842		
Zm00004b010352	Zm00004b010352_T001	mRNA	chr02	232032134	232036498	-	4365	3887	2802		
Zm00004b010353	Zm00004b010353_T001	mRNA	chr02	232056849	232101824	+	44976	1128	1128		
Zm00004b010354	Zm00004b010354_T001	mRNA	chr02	232138163	232141091	+	2929	1646	1359		
Zm00004b010355	Zm00004b010355_T001	mRNA	chr02	232141445	232143046	+	1602	1344	1152		
Zm00004b010356	Zm00004b010356_T001	mRNA	chr02	232143159	232146616	-	3458	1786	1110		
Zm00004b010357	Zm00004b010357_T001	mRNA	chr02	232162999	232168517	+	5519	2895	2895		
Zm00004b010358	Zm00004b010358_T001	mRNA	chr02	232207569	232208422	+	854	711	330		
Zm00004b010359	Zm00004b010359_T001	mRNA	chr02	232217126	232230881	-	13756	3586	1410		
Zm00004b010360	Zm00004b010360_T001	mRNA	chr02	232318218	232319319	+	1102	1014	408		
Zm00004b010361	Zm00004b010361_T001	mRNA	chr02	232325016	232325533	+	518	402	402		
Zm00004b010362	Zm00004b010362_T001	mRNA	chr02	232346735	232347697	-	963	963	963		
Zm00004b010363	Zm00004b010363_T001	mRNA	chr02	232349716	232351942	+	2227	866	429		
Zm00004b010364	Zm00004b010364_T001	mRNA	chr02	232354339	232355395	+	1057	648	648		
Zm00004b010365	Zm00004b010365_T001	mRNA	chr02	232358937	232367712	-	8776	2406	2406		
Zm00004b010366	Zm00004b010366_T001	mRNA	chr02	232443587	232449977	+	6391	4774	4686		
Zm00004b010367	Zm00004b010367_T001	mRNA	chr02	232477568	232482353	-	4786	2475	2475		
Zm00004b010368	Zm00004b010368_T001	mRNA	chr02	232504962	232505726	+	765	690	690		
Zm00004b010369	Zm00004b010369_T001	mRNA	chr02	232506990	232508137	+	1148	879	879		
Zm00004b010370	Zm00004b010370_T001	mRNA	chr02	232510927	232515440	-	4514	2295	1341		
Zm00004b010371	Zm00004b010371_T001	mRNA	chr02	232511054	232511410	+	357	357	357		
Zm00004b010372	Zm00004b010372_T001	mRNA	chr02	232520147	232522842	-	2696	636	636		
Zm00004b010373	Zm00004b010373_T001	mRNA	chr02	232540843	232542099	-	1257	1257	1257		
Zm00004b010374	Zm00004b010374_T001	mRNA	chr02	232546303	232550057	+	3755	459	459		
Zm00004b010375	Zm00004b010375_T001	mRNA	chr02	232550924	232553530	+	2607	1279	1278		
Zm00004b010376	Zm00004b010376_T001	mRNA	chr02	232556118	232557437	-	1320	1320	1320		
Zm00004b010377	Zm00004b010377_T001	mRNA	chr02	232562790	232565699	-	2910	2910	2910		
Zm00004b010378	Zm00004b010378_T001	mRNA	chr02	232615442	232616872	-	1431	1101	1101		
Zm00004b010379	Zm00004b010379_T001	mRNA	chr02	232617657	232621245	-	3589	1692	1200		
Zm00004b010380	Zm00004b010380_T001	mRNA	chr02	232654000	232656871	+	2872	1576	879		
Zm00004b010381	Zm00004b010381_T001	mRNA	chr02	232670095	232676293	-	6199	3867	3471		
Zm00004b010382	Zm00004b010382_T001	mRNA	chr02	232757440	232758614	-	1175	1017	1017		
Zm00004b010383	Zm00004b010383_T001	mRNA	chr02	232760060	232765210	+	5151	744	744		
Zm00004b010384	Zm00004b010384_T001	mRNA	chr02	232781016	232784477	-	3462	3358	2949		
Zm00004b010385	Zm00004b010385_T001	mRNA	chr02	232843109	232844105	-	997	859	504		
Zm00004b010386	Zm00004b010386_T001	mRNA	chr02	232910848	232915099	-	4252	976	552		
Zm00004b010387	Zm00004b010387_T001	mRNA	chr02	232946104	232949275	+	3172	864	594		
Zm00004b010388	Zm00004b010388_T001	mRNA	chr02	232950953	232958618	-	7666	1089	744		
Zm00004b010389	Zm00004b010389_T001	mRNA	chr02	232975774	232980129	+	4356	1900	1452		
Zm00004b010390	Zm00004b010390_T001	mRNA	chr02	232985417	232986147	+	731	552	552		
Zm00004b010391	Zm00004b010391_T001	mRNA	chr02	232986646	232986846	-	201	201	201		
Zm00004b010392	Zm00004b010392_T001	mRNA	chr02	233006916	233008725	+	1810	726	345		
Zm00004b010393	Zm00004b010393_T001	mRNA	chr02	233070525	233080367	+	9843	3632	3015		
Zm00004b010394	Zm00004b010394_T001	mRNA	chr02	233092805	233093071	-	267	267	267		
Zm00004b010395	Zm00004b010395_T001	mRNA	chr02	233126482	233127860	-	1379	1107	1107		
Zm00004b010396	Zm00004b010396_T001	mRNA	chr02	233134133	233138933	+	4801	2443	1770		
Zm00004b010397	Zm00004b010397_T001	mRNA	chr02	233141486	233145571	-	4086	2280	1365		
Zm00004b010398	Zm00004b010398_T001	mRNA	chr02	233200381	233202420	+	2040	1955	1575		
Zm00004b010399	Zm00004b010399_T001	mRNA	chr02	233225951	233232660	-	6710	1998	1797		
Zm00004b010400	Zm00004b010400_T001	mRNA	chr02	233235329	233239617	+	4289	1633	1227		
Zm00004b010401	Zm00004b010401_T001	mRNA	chr02	233243709	233251178	+	7470	3725	3297		
Zm00004b010402	Zm00004b010402_T001	mRNA	chr02	233295557	233296911	+	1355	1135	1119		
Zm00004b010403	Zm00004b010403_T001	mRNA	chr02	233303608	233307662	-	4055	985	399		
Zm00004b010404	Zm00004b010404_T001	mRNA	chr02	233342072	233343714	+	1643	878	612		
Zm00004b010405	Zm00004b010405_T001	mRNA	chr02	233367753	233368190	-	438	438	438		
Zm00004b010406	Zm00004b010406_T001	mRNA	chr02	233386201	233388385	-	2185	2094	2094		
Zm00004b010407	Zm00004b010407_T001	mRNA	chr02	233397986	233403834	+	5849	4253	2664		
Zm00004b010408	Zm00004b010408_T001	mRNA	chr02	233653219	233654870	+	1652	831	831		
Zm00004b010409	Zm00004b010409_T001	mRNA	chr02	233657703	233660365	-	2663	804	804		
Zm00004b010410	Zm00004b010410_T001	mRNA	chr02	233667875	233714000	+	46126	2777	2184		
Zm00004b010411	Zm00004b010411_T001	mRNA	chr02	233730954	233733398	-	2445	2445	2445		
Zm00004b010412	Zm00004b010412_T001	mRNA	chr02	233838045	233855642	+	17598	930	540		
Zm00004b010413	Zm00004b010413_T001	mRNA	chr02	233858883	233861216	-	2334	2334	2334		
Zm00004b010414	Zm00004b010414_T001	mRNA	chr02	233932130	233935984	-	3855	2297	1716		
Zm00004b010415	Zm00004b010415_T001	mRNA	chr02	233936141	233940201	+	4061	1824	1824		
Zm00004b010416	Zm00004b010416_T001	mRNA	chr02	233940836	233952466	-	11631	5318	4788		
Zm00004b010417	Zm00004b010417_T001	mRNA	chr02	233949694	233951222	+	1529	894	894		
Zm00004b010418	Zm00004b010418_T001	mRNA	chr02	233951436	233954017	+	2582	390	390		
Zm00004b010419	Zm00004b010419_T001	mRNA	chr02	233975196	233975513	-	318	318	318		
Zm00004b010420	Zm00004b010420_T001	mRNA	chr02	234026520	234028895	-	2376	582	582		
Zm00004b010421	Zm00004b010421_T001	mRNA	chr02	234029244	234030656	+	1413	790	273		
Zm00004b010422	Zm00004b010422_T001	mRNA	chr02	234083093	234089046	-	5954	2516	501		
Zm00004b010423	Zm00004b010423_T001	mRNA	chr02	234086660	234088250	+	1591	552	552		
Zm00004b010424	Zm00004b010424_T001	mRNA	chr02	234090891	234100569	-	9679	996	996		
Zm00004b010425	Zm00004b010425_T001	mRNA	chr02	234220109	234222553	-	2445	2445	2445		
Zm00004b010426	Zm00004b010426_T001	mRNA	chr02	234223374	234229666	+	6293	1842	1053		
Zm00004b010427	Zm00004b010427_T001	mRNA	chr02	234224859	234237449	-	12591	2119	672		
Zm00004b010428	Zm00004b010428_T001	mRNA	chr02	234238824	234252678	-	13855	7425	7425		
Zm00004b010429	Zm00004b010429_T001	mRNA	chr02	234270900	234271364	+	465	465	465		
Zm00004b010430	Zm00004b010430_T001	mRNA	chr02	234272090	234275781	-	3692	1460	840		
Zm00004b010431	Zm00004b010431_T001	mRNA	chr02	234277985	234278913	-	929	480	369		
Zm00004b010432	Zm00004b010432_T001	mRNA	chr02	234281707	234283800	-	2094	2094	2094		
Zm00004b010433	Zm00004b010433_T001	mRNA	chr02	234289137	234296654	-	7518	1590	1590		
Zm00004b010434	Zm00004b010434_T001	mRNA	chr02	234297823	234332522	+	34700	788	720		
Zm00004b010435	Zm00004b010435_T001	mRNA	chr02	234335020	234337842	-	2823	627	627		
Zm00004b010436	Zm00004b010436_T001	mRNA	chr02	234338459	234339682	-	1224	815	399		
Zm00004b010437	Zm00004b010437_T001	mRNA	chr02	234341406	234349406	+	8001	3555	729		
Zm00004b010438	Zm00004b010438_T001	mRNA	chr02	234347328	234349772	-	2445	2445	2445		
Zm00004b010439	Zm00004b010439_T001	mRNA	chr02	234425515	234427486	-	1972	785	342		
Zm00004b010440	Zm00004b010440_T001	mRNA	chr02	234518826	234519729	-	904	666	666		
Zm00004b010441	Zm00004b010441_T001	mRNA	chr02	234551736	234552992	-	1257	647	369		
Zm00004b010442	Zm00004b010442_T001	mRNA	chr02	234562798	234565222	+	2425	604	408		
Zm00004b010443	Zm00004b010443_T001	mRNA	chr02	234575422	234575912	+	491	394	246		
Zm00004b010444	Zm00004b010444_T001	mRNA	chr02	234576238	234582604	+	6367	1161	1161		
Zm00004b010445	Zm00004b010445_T001	mRNA	chr02	234583108	234587428	-	4321	2518	1620		
Zm00004b010446	Zm00004b010446_T001	mRNA	chr02	234590108	234600971	-	10864	5035	4482		
Zm00004b010447	Zm00004b010447_T001	mRNA	chr02	234607606	234609237	-	1632	372	372		
Zm00004b010448	Zm00004b010448_T001	mRNA	chr02	234611977	234613287	-	1311	1227	1227		
Zm00004b010449	Zm00004b010449_T001	mRNA	chr02	234615451	234617083	-	1633	1443	1089		
Zm00004b010450	Zm00004b010450_T001	mRNA	chr02	234630365	234631096	+	732	606	399		
Zm00004b010451	Zm00004b010451_T001	mRNA	chr02	234631448	234635606	-	4159	1565	891		
Zm00004b010452	Zm00004b010452_T001	mRNA	chr02	234639300	234657427	-	18128	3360	522		
Zm00004b010453	Zm00004b010453_T001	mRNA	chr02	234660397	234662002	-	1606	1398	819		
Zm00004b010454	Zm00004b010454_T001	mRNA	chr02	234720248	234720598	+	351	351	351		
Zm00004b010455	Zm00004b010455_T001	mRNA	chr02	234720675	234720932	+	258	258	258		
Zm00004b010456	Zm00004b010456_T001	mRNA	chr02	234729714	234730337	+	624	624	624		
Zm00004b010457	Zm00004b010457_T001	mRNA	chr02	234763704	234767030	-	3327	2050	1965		
Zm00004b010458	Zm00004b010458_T001	mRNA	chr02	234822404	234823622	-	1219	1070	423		
Zm00004b010459	Zm00004b010459_T001	mRNA	chr02	234926084	234936252	+	10169	2600	939		
Zm00004b010460	Zm00004b010460_T001	mRNA	chr02	234940603	234949219	+	8617	1570	1131		
Zm00004b010461	Zm00004b010461_T001	mRNA	chr02	234993860	234994438	-	579	579	579		
Zm00004b010462	Zm00004b010462_T001	mRNA	chr02	235000656	235007080	-	6425	936	468		
Zm00004b010463	Zm00004b010463_T001	mRNA	chr02	235006053	235014265	+	8213	2372	660		
Zm00004b010464	Zm00004b010464_T001	mRNA	chr02	235040445	235041023	-	579	579	579		
Zm00004b010465	Zm00004b010465_T001	mRNA	chr02	235089070	235089768	+	699	129	129		
Zm00004b010466	Zm00004b010466_T001	mRNA	chr02	235089821	235092948	-	3128	2115	1503		
Zm00004b010467	Zm00004b010467_T001	mRNA	chr02	235108640	235122004	-	13365	2456	2451		
Zm00004b010468	Zm00004b010468_T001	mRNA	chr02	235122350	235124047	+	1698	1698	1698		
Zm00004b010469	Zm00004b010469_T001	mRNA	chr02	235124415	235126604	-	2190	1974	1974		
Zm00004b010470	Zm00004b010470_T001	mRNA	chr02	235130505	235131002	+	498	498	498		
Zm00004b010471	Zm00004b010471_T001	mRNA	chr02	235132767	235136491	-	3725	1880	831		
Zm00004b010472	Zm00004b010472_T001	mRNA	chr02	235209340	235210656	+	1317	1317	1317		
Zm00004b010473	Zm00004b010473_T001	mRNA	chr02	235291752	235296003	+	4252	2812	2118		
Zm00004b010474	Zm00004b010474_T001	mRNA	chr02	235297326	235307043	+	9718	1853	1293		
Zm00004b010475	Zm00004b010475_T001	mRNA	chr02	235353108	235359101	-	5994	2898	2898		
Zm00004b010476	Zm00004b010476_T001	mRNA	chr02	235365851	235371484	-	5634	2091	1410		
Zm00004b010477	Zm00004b010477_T001	mRNA	chr02	235409365	235413335	+	3971	2394	2394		
Zm00004b010478	Zm00004b010478_T001	mRNA	chr02	235433849	235435969	-	2121	1811	1146		
Zm00004b010479	Zm00004b010479_T001	mRNA	chr02	235451807	235452647	+	841	587	258		
Zm00004b010480	Zm00004b010480_T001	mRNA	chr02	235466558	235467961	-	1404	1404	1404		
Zm00004b010481	Zm00004b010481_T001	mRNA	chr02	235474761	235475954	+	1194	1194	1194		
Zm00004b010482	Zm00004b010482_T001	mRNA	chr02	235477337	235481551	-	4215	1845	1266		
Zm00004b010483	Zm00004b010483_T001	mRNA	chr02	235497163	235497489	-	327	327	327		
Zm00004b010484	Zm00004b010484_T001	mRNA	chr02	235614267	235616449	+	2183	1860	1224		
Zm00004b010485	Zm00004b010485_T001	mRNA	chr02	235638081	235638797	+	717	717	717		
Zm00004b010486	Zm00004b010486_T001	mRNA	chr02	235639721	235641101	-	1381	1249	891		
Zm00004b010487	Zm00004b010487_T001	mRNA	chr02	235650658	235652012	+	1355	1164	1023		
Zm00004b010488	Zm00004b010488_T001	mRNA	chr02	235674630	235677059	-	2430	2430	2430		
Zm00004b010489	Zm00004b010489_T001	mRNA	chr02	235722964	235723695	+	732	732	732		
Zm00004b010490	Zm00004b010490_T001	mRNA	chr02	235793851	235800371	+	6521	3423	3423		
Zm00004b010491	Zm00004b010491_T001	mRNA	chr02	235835941	235842865	-	6925	2523	1752		
Zm00004b010492	Zm00004b010492_T001	mRNA	chr02	235886951	235888982	-	2032	516	516		
Zm00004b010493	Zm00004b010493_T001	mRNA	chr02	235930387	235930623	+	237	237	237		
Zm00004b010494	Zm00004b010494_T001	mRNA	chr02	235936912	235937400	+	489	255	255		
Zm00004b010495	Zm00004b010495_T001	mRNA	chr02	235998719	236002790	+	4072	1009	879		
Zm00004b010496	Zm00004b010496_T001	mRNA	chr02	236014956	236018538	-	3583	2460	1854		
Zm00004b010497	Zm00004b010497_T001	mRNA	chr02	236023902	236034145	+	10244	5214	5214		
Zm00004b010498	Zm00004b010498_T001	mRNA	chr02	236036781	236042278	-	5498	1604	1125		
Zm00004b010499	Zm00004b010499_T001	mRNA	chr02	236101919	236109725	+	7807	2657	2007		
Zm00004b010500	Zm00004b010500_T001	mRNA	chr02	236109868	236114588	-	4721	2783	1452		
Zm00004b010501	Zm00004b010501_T001	mRNA	chr02	236116635	236119876	-	3242	2013	2013		
Zm00004b010502	Zm00004b010502_T001	mRNA	chr02	236119734	236120117	+	384	384	384		
Zm00004b010503	Zm00004b010503_T001	mRNA	chr02	236120429	236126185	+	5757	1386	1386		
Zm00004b010504	Zm00004b010504_T001	mRNA	chr02	236132789	236142174	-	9386	1594	852		
Zm00004b010505	Zm00004b010505_T001	mRNA	chr02	236144611	236145239	-	629	321	321		
Zm00004b010506	Zm00004b010506_T001	mRNA	chr02	236149096	236149717	-	622	273	273		
Zm00004b010507	Zm00004b010507_T001	mRNA	chr02	236216987	236224758	+	7772	2211	1935		
Zm00004b010508	Zm00004b010508_T001	mRNA	chr02	236251109	236255984	-	4876	1650	1047		
Zm00004b010509	Zm00004b010509_T001	mRNA	chr02	236299271	236301886	+	2616	2302	1746		
Zm00004b010510	Zm00004b010510_T001	mRNA	chr02	236320480	236321346	-	867	867	867		
Zm00004b010511	Zm00004b010511_T001	mRNA	chr02	236349390	236356325	-	6936	2470	852		
Zm00004b010512	Zm00004b010512_T001	mRNA	chr02	236361841	236363741	+	1901	780	780		
Zm00004b010513	Zm00004b010513_T001	mRNA	chr02	236377345	236377866	+	522	522	522		
Zm00004b010514	Zm00004b010514_T001	mRNA	chr02	236381213	236383479	+	2267	695	387		
Zm00004b010515	Zm00004b010515_T001	mRNA	chr02	236384050	236384628	-	579	579	579		
Zm00004b010516	Zm00004b010516_T001	mRNA	chr02	236387379	236394303	-	6925	2275	1656		
Zm00004b010517	Zm00004b010517_T001	mRNA	chr02	236396535	236397366	-	832	441	429		
Zm00004b010518	Zm00004b010518_T001	mRNA	chr02	236402881	236403727	+	847	441	441		
Zm00004b010519	Zm00004b010519_T001	mRNA	chr02	236439733	236443228	-	3496	1409	1398		
Zm00004b010520	Zm00004b010520_T001	mRNA	chr02	236480235	236483081	-	2847	1344	1344		
Zm00004b010521	Zm00004b010521_T001	mRNA	chr02	236483874	236484809	+	936	459	459		
Zm00004b010522	Zm00004b010522_T001	mRNA	chr02	236489401	236495731	+	6331	546	546		
Zm00004b010523	Zm00004b010523_T001	mRNA	chr02	236497130	236499954	-	2825	1359	1041		
Zm00004b010524	Zm00004b010524_T001	mRNA	chr02	236510166	236511336	+	1171	420	420		
Zm00004b010525	Zm00004b010525_T001	mRNA	chr02	236511775	236514822	-	3048	1757	1599		
Zm00004b010526	Zm00004b010526_T001	mRNA	chr02	236537193	236539379	-	2187	1180	1119		
Zm00004b010527	Zm00004b010527_T001	mRNA	chr02	236540039	236540973	+	935	732	732		
Zm00004b010528	Zm00004b010528_T001	mRNA	chr02	236544108	236544989	+	882	393	393		
Zm00004b010529	Zm00004b010529_T001	mRNA	chr02	236545772	236548820	-	3049	1766	1608		
Zm00004b010530	Zm00004b010530_T001	mRNA	chr02	236549487	236550852	-	1366	567	567		
Zm00004b010531	Zm00004b010531_T001	mRNA	chr02	236571843	236574750	-	2908	1300	909		
Zm00004b010532	Zm00004b010532_T001	mRNA	chr02	236575442	236576479	+	1038	645	645		
Zm00004b010533	Zm00004b010533_T001	mRNA	chr02	236580839	236592869	-	12031	1720	930		
Zm00004b010534	Zm00004b010534_T001	mRNA	chr02	236603590	236604420	+	831	831	831		
Zm00004b010535	Zm00004b010535_T001	mRNA	chr02	236605026	236605739	-	714	624	492		
Zm00004b010536	Zm00004b010536_T001	mRNA	chr02	236606599	236607681	-	1083	635	540		
Zm00004b010537	Zm00004b010537_T001	mRNA	chr02	236643658	236646594	-	2937	1076	987		
Zm00004b010538	Zm00004b010538_T001	mRNA	chr02	236651657	236652503	+	847	441	441		
Zm00004b010539	Zm00004b010539_T001	mRNA	chr02	236652770	236656636	-	3867	1897	762		
Zm00004b010540	Zm00004b010540_T001	mRNA	chr02	236657986	236660030	-	2045	516	516		
Zm00004b010541	Zm00004b010541_T001	mRNA	chr02	236716139	236716979	+	841	387	387		
Zm00004b010542	Zm00004b010542_T001	mRNA	chr02	236717677	236721106	-	3430	2027	1503		
Zm00004b010543	Zm00004b010543_T001	mRNA	chr02	236749696	236750542	+	847	441	441		
Zm00004b010544	Zm00004b010544_T001	mRNA	chr02	236751267	236754698	-	3432	2027	1701		
Zm00004b010545	Zm00004b010545_T001	mRNA	chr02	236756048	236758091	-	2044	516	516		
Zm00004b010546	Zm00004b010546_T001	mRNA	chr02	236803451	236804297	+	847	441	441		
Zm00004b010547	Zm00004b010547_T001	mRNA	chr02	236804921	236828606	-	23686	5750	5151		
Zm00004b010548	Zm00004b010548_T001	mRNA	chr02	236832973	236835088	+	2116	715	198		
Zm00004b010549	Zm00004b010549_T001	mRNA	chr02	236907461	236908084	+	624	624	624		
Zm00004b010550	Zm00004b010550_T001	mRNA	chr02	236915507	236919209	-	3703	2630	639		
Zm00004b010551	Zm00004b010551_T001	mRNA	chr02	236939392	236944910	+	5519	654	654		
Zm00004b010552	Zm00004b010552_T001	mRNA	chr02	236945424	236961147	+	15724	1539	1539		
Zm00004b010553	Zm00004b010553_T001	mRNA	chr02	236946635	236948844	-	2210	516	516		
Zm00004b010554	Zm00004b010554_T001	mRNA	chr02	236967745	236971983	-	4239	1344	1344		
Zm00004b010555	Zm00004b010555_T001	mRNA	chr02	236991331	237000525	+	9195	3003	3003		
Zm00004b010556	Zm00004b010556_T001	mRNA	chr02	237004667	237006753	+	2087	1909	792		
Zm00004b010557	Zm00004b010557_T001	mRNA	chr02	237087310	237088352	+	1043	738	738		
Zm00004b010558	Zm00004b010558_T001	mRNA	chr02	237119794	237123732	-	3939	1839	1839		
Zm00004b010559	Zm00004b010559_T001	mRNA	chr02	237142735	237142992	-	258	258	258		
Zm00004b010560	Zm00004b010560_T001	mRNA	chr02	237159185	237180286	+	21102	2101	1923		
Zm00004b010561	Zm00004b010561_T001	mRNA	chr02	237180407	237181184	-	778	622	468		
Zm00004b010562	Zm00004b010562_T001	mRNA	chr02	237221214	237227522	+	6309	2892	2703		
Zm00004b010563	Zm00004b010563_T001	mRNA	chr02	237270476	237285958	-	15483	4515	3798		
Zm00004b010564	Zm00004b010564_T001	mRNA	chr02	237292891	237295289	+	2399	1994	468		
Zm00004b010565	Zm00004b010565_T001	mRNA	chr02	237378767	237381000	+	2234	1519	993		
Zm00004b010566	Zm00004b010566_T001	mRNA	chr02	237390951	237391163	+	213	213	213		
Zm00004b010567	Zm00004b010567_T001	mRNA	chr02	237481711	237483226	+	1516	681	681		
Zm00004b010568	Zm00004b010568_T001	mRNA	chr02	237632127	237651176	-	19050	2234	1977		
Zm00004b010569	Zm00004b010569_T001	mRNA	chr02	237669845	237671677	-	1833	1833	1833		
Zm00004b010570	Zm00004b010570_T001	mRNA	chr02	237687233	237690195	-	2963	618	618		
Zm00004b010571	Zm00004b010571_T001	mRNA	chr02	237706287	237712573	-	6287	3666	3078		
Zm00004b010572	Zm00004b010572_T001	mRNA	chr02	237720071	237721879	-	1809	1809	1809		
Zm00004b010573	Zm00004b010573_T001	mRNA	chr02	237724316	237731689	+	7374	4092	3045		
Zm00004b010574	Zm00004b010574_T001	mRNA	chr02	237736888	237738696	-	1809	1809	1809		
Zm00004b010575	Zm00004b010575_T001	mRNA	chr02	237744226	237746008	+	1783	486	486		
Zm00004b010576	Zm00004b010576_T001	mRNA	chr02	237789404	237791665	+	2262	2139	1575		
Zm00004b010577	Zm00004b010577_T001	mRNA	chr02	237838811	237842479	+	3669	1922	1374		
Zm00004b010578	Zm00004b010578_T001	mRNA	chr02	237847132	237851744	-	4613	2250	2049		
Zm00004b010579	Zm00004b010579_T001	mRNA	chr02	237875926	237879551	+	3626	1291	1206		
Zm00004b010580	Zm00004b010580_T001	mRNA	chr02	237914569	237916404	-	1836	1746	885		
Zm00004b010581	Zm00004b010581_T001	mRNA	chr02	237969293	237977867	+	8575	5255	4062		
Zm00004b010582	Zm00004b010582_T001	mRNA	chr02	238020707	238023320	-	2614	2250	1740		
Zm00004b010583	Zm00004b010583_T001	mRNA	chr02	238060354	238060953	-	600	600	423		
Zm00004b010584	Zm00004b010584_T001	mRNA	chr02	238065034	238065633	-	600	600	423		
Zm00004b010585	Zm00004b010585_T001	mRNA	chr02	238067768	238072554	+	4787	1392	1392		
Zm00004b010586	Zm00004b010586_T001	mRNA	chr02	238084668	238085297	-	630	630	423		
Zm00004b010587	Zm00004b010587_T001	mRNA	chr02	238087030	238087659	-	630	630	423		
Zm00004b010588	Zm00004b010588_T001	mRNA	chr02	238127569	238130656	-	3088	971	768		
Zm00004b010589	Zm00004b010589_T001	mRNA	chr02	238131036	238132296	+	1261	270	270		
Zm00004b010590	Zm00004b010590_T001	mRNA	chr02	238133944	238134603	-	660	294	294		
